H37 - Linha2 01/10/2020
5.0
3
80
1
0
7.5   5.0    1  19.67
12.5   5.0    1  27.19
17.5   5.0    1  20.78
22.5   5.0    1  13.06
27.5   5.0    1  13.29
32.5   5.0    1  13.70
37.5   5.0    1  19.67
42.5   5.0    1  20.22
47.5   5.0    1  12.29
52.5   5.0    1  13.27
57.5   5.0    1  21.55
62.5   5.0    1  76.58
67.5   5.0    1  51.33
72.5   5.0    1  114.13
77.5   5.0    1  58.27
82.5   5.0    1  33.87
87.5   5.0    1  29.90
92.5   5.0    1  22.98
10.0   5.0    2  36.95
15.0   5.0    2  38.76
20.0   5.0    2  44.92
25.0   5.0    2  54.53
30.0   5.0    2  51.97
35.0   5.0    2  45.97
40.0   5.0    2  60.38
45.0   5.0    2  77.28
50.0   5.0    2  63.31
55.0   5.0    2  83.01
60.0   5.0    2  50.57
65.0   5.0    2  66.88
70.0   5.0    2  88.13
75.0   5.0    2  144.41
80.0   5.0    2  173.37
85.0   5.0    2  127.02
90.0   5.0    2  95.94
12.5   5.0    3  43.12
17.5   5.0    3  35.33
22.5   5.0    3  41.17
27.5   5.0    3  42.17
32.5   5.0    3  40.37
37.5   5.0    3  41.48
42.5   5.0    3  39.52
47.5   5.0    3  68.06
52.5   5.0    3  65.49
57.5   5.0    3  69.17
62.5   5.0    3  46.63
67.5   5.0    3  65.47
72.5   5.0    3  132.81
77.5   5.0    3  154.82
82.5   5.0    3  167.14
87.5   5.0    3  174.65
15.0   5.0    4  49.06
20.0   5.0    4  38.62
25.0   5.0    4  35.78
30.0   5.0    4  42.41
35.0   5.0    4  41.87
40.0   5.0    4  34.14
45.0   5.0    4  42.64
50.0   5.0    4  80.93
55.0   5.0    4  58.13
60.0   5.0    4  69.30
65.0   5.0    4  49.42
70.0   5.0    4  108.42
75.0   5.0    4  144.61
80.0   5.0    4  141.73
85.0   5.0    4  203.24
17.5   5.0    5  59.08
22.5   5.0    5  38.79
27.5   5.0    5  44.34
32.5   5.0    5  39.23
37.5   5.0    5  38.78
42.5   5.0    5  42.80
47.5   5.0    5  58.31
52.5   5.0    5  77.55
57.5   5.0    5  60.33
62.5   5.0    5  76.97
67.5   5.0    5  85.17
72.5   5.0    5  124.21
77.5   5.0    5  137.42
82.5   5.0    5  137.52
0,0,0,0,0,0,0,0
